date,CMRMTSPLx,IPDCONGD,HWI,CES0600000007,AWHMAN,COMPAPFFx,EXSZUSx,DTCTHFNM,cum_return_1_0,fc2y,oa,rel_to_high_price,s2p,suv,dp,tms,svar
196402,0.00769203643253924,0.00288952054183733,2,39.9,40.6,0.58,-0.000185343929358428,0.00736003894610704,0.0069711749,0,0,-0.00185534748101618,0,-0.630321294,-0.00261489720982055,0.0071,7.16995e-05
196403,0.023767938680308,0.00191619408039045,0,39.5,40.1,0.49,9.26762587256658e-05,-0.0148108832893392,0.0104669891,0,0,0.016145006828064,0,-0.030177506,-0.00786003362143584,0.007,0.000114711
196404,0.00143031120225245,0.00573900930000493,0,40.3,40.7,0.4,0.00199046494454436,0.00147424852325706,0.017396681,0,0,0.00339958926395863,0,-0.032566416,0.00108272384085417,0.0076,0.000254755
196405,-0.0212362329648634,-0.00765520338039538,0,40.2,40.6,0.57,0.000508552946697716,0.00115654400569731,-0.0601752918,0,0,-0.000550004651426128,0,-0.243869,-0.00433836038048296,0.0074,0.000225777
196406,0.0154974528122942,0.0265427084554601,2,40.3,40.7,0.44,-0.00141071472615772,0.00501511095476914,0.0206896547,0.00960238149880954,0,-0.0281172734333555,0,-0.6395132,-0.00924908284987103,0.0071,0.000397851
196407,0.0121557272572055,0.00559577343559248,0,40.4,40.8,0.39,-0.00122732077420551,0.00314295057378366,0.00526251365,-0.00933162165741708,0,0.0058624445568147,0,-0.252828571,-0.00970708929047115,0.0075,0.000198907
196408,-0.000137244310122853,0.0101796196455943,1,40.4,40.8,0.5,-2.31714805425387e-05,0.00224474513840356,0.00557938125,0,0,0.00853436902498407,0,-0.264820855,0.0246618125901699,0.00729999999999999,0.000425926
196409,0.0129833062974196,0.0164390075077545,2,40.3,40.8,0.54,0.00141247867138428,-0.00242999546727418,-0.0345451706,1.73838036425789e-05,-0.000329549499999998,-0.0224603032887145,-0.00459694395542665,-0.427550178,-0.0200829396666187,0.0068,0.000170497
196410,-0.0129184205680666,0.00721993817895683,-1,40.4,40.9,0.38,-0.000254561865693281,-0.00181849715044713,0.0466837012,0,0,0.0294651269178026,0,-0.188276557,0.000117834207406631,0.0064,0.000187044
196411,0.0266358620943592,-0.0236589456867113,1,40.4,40.9,0.44,-0.000138879244720114,-0.0038020433865551,-0.0211050473,0,0,0.0080887912281201,0,-0.195031593,0.0132957096524455,0.0058,0.000212866
196412,-0.0153339060759539,-0.109874667805304,0,40.3,40.7,0.64,-0.000694685682678386,-0.000703731392396989,-0.0087719299,0.012796251844996,-7.93369999999988e-05,-0.0280589807818034,-0.00430126847407519,-0.10884413,0.0041307657910572,0.0039,0.000351213
196501,-0.0096638540502223,0.128124529588305,2,40.6,41,0.5,-0.000324351878292495,-0.00280557302416184,-0.008264462,0,0,-0.0212901447023368,0,-0.0310220875,-0.0259607387300353,0.0041,0.000165813
196502,0.0458610837150779,0.0571080480365818,0,40.7,41.2,0.32,0,0.0144654972947702,0.0686092884,-0.012796251844996,-7.93369999999988e-05,0.0629463590160176,0.00430126847407519,0.1758975049,0.0080600805665143,0.0031,0.000393197
196503,-0.0102238826782433,0.0169326554282474,0,40.8,41.3,0.35,0.000972740192968002,-0.0165580891549268,-0.0287962593,0.012796251844996,-0.000208774000000002,0.000771707599196994,-0.00430126847407519,-0.072436291,0.0212029988721278,0.0029,0.00014462
196504,0.0026502915668889,0.0133441045774738,2,40.7,41.3,0.29,0.0020350592102758,0.00409478881616465,-0.0357679761,-0.012796251844996,-0.000208774000000002,-0.0237364165048842,-0.00431984933460172,-0.407901875,-0.0258529890397021,0.0029,0.00016276
196505,0.0274373159648658,0.0269745319010775,1,40.8,41.3,0.34,0.00355141853334251,0.0002024527539497,0.0409648157,0,-0.000955747999999999,0.0210143957692754,0,-0.29208314,0.0155253500308499,0.0034,0.000333764
196506,0.00128428675495229,-0.00161501052768775,1,40.6,41.2,0.29,4.60394558217114e-05,0.00780266963251819,-0.0486501687,0,0,-0.0230322425326463,0,-0.472372941,0.0575461831867532,0.0043,0.001829375
196507,-0.0103533730239818,0.00724536249192553,2,40.8,41.3,0.28,0.000667334025433064,-0.00137223600993508,-0.059640906,0,0.002508875,-0.0924959622360284,0.0017083691404749,-0.4728710255,-0.00696568118724272,0.004,0.000521866
196508,0.0116755048554982,0.00878168712698368,0,40.7,41.2,0.34,-0.00308727551452637,0.00179987792991909,0.0960785123,-0.00586833093107386,0.0011135245,0.0197221019194819,0.0383225312506782,-0.2859717105,-0.0159722877776884,0.0044,0.000107534
196509,0.00566601761024721,0.00713057602643064,0,40.7,41.2,0.29,-0.00228703536013564,-0.00270009320612274,0.01537866055,-0.00586833093107386,0,0.0356205590376577,0,-0.110206143,-0.0252069058326785,0.0041,0.000299101
196510,-0.00185871018357275,-0.010313434647065,2,40.6,41.1,0.26,-0.00143495291593121,0.0033196647341569,-0.00833255795,0,0,0.0177996321496473,0,0.06283342645,-0.0194876066218481,0.003,0.000188379
196511,0.00627909238472135,0.01817222819205,2,40.6,41.1,0.37,-4.6323103656043e-05,-0.0105253510267573,0.0038050562,0,0,0.0151810170329783,0,-0.1306716805,0.0162379479025212,0.0032,0.000141419
196512,0.0131898799222245,0.00935444130684404,2,40.7,41.2,0.3,0.000532586181557493,-0.00274111912282748,-0.0216853731,0.00575034868836943,0.000196310499999998,-0.00700516274186498,-0.00218713137027748,-0.051899554,-0.0015310579519463,0.0012,0.000301366
196601,0.0177362705788582,0.00695968181344853,4,40.7,41.3,0.28,0,0.00280974224877006,0.0101921559,-0.0115339552231637,0,0.00165645215599509,-0.00802833874286335,-0.375987107,0.00246930397912237,-0.000200000000000006,0.000151804
196602,0.00741880636303982,0.020586534451553,1,40.8,41.3,0.33,-0.000532586181557493,0.0104386353810266,0.00522185115,-4.13771674301344e-05,-0.000131048000000002,0.00867577840553184,-0.000452007865965831,-0.2025638385,0.0253069254351619,0.0012,0.000337066
