,date,macro_0,macro_1,macro_2,macro_3,macro_4,macro_5,Rec,Neg_Rec,Recessions
208,1980-12-01,-0.44875342,-0.11740006,0.056190085,-0.114156395,-0.41322502,-0.16899396,0,0,0
209,1981-01-01,-0.3204323,-0.22876075,0.08674999,-0.18046634,-0.1929568,-0.4969644,0,0,0
210,1981-02-01,-0.25664276,-0.19880112,-0.0954027,-0.085493475,-0.13604017,-0.264417,0,0,0
211,1981-03-01,-0.21857525,-0.22417685,0.2758502,-0.26693544,-0.08419972,-0.17275481,0,0,0
212,1981-04-01,0.04635667,-0.008678054,0.29830235,-0.5193952,-0.1450554,-0.10375051,0,0,0
213,1981-05-01,0.19682021,0.036021117,-0.031710044,0.12483824,-0.10035861,-0.5950033,1,-2,2
214,1981-06-01,0.1072136,0.069403954,-0.101483494,-0.031724047,-0.04429035,-0.4044424,1,-2,2
215,1981-07-01,0.15962367,0.07789069,-0.092884645,0.24283701,-0.037493505,-0.6516184,1,-2,2
216,1981-08-01,0.12852553,0.2796056,-0.060898867,0.32822308,-0.031022795,-0.4253365,1,-2,2
217,1981-09-01,0.15824364,0.21219023,-0.021691047,0.2186913,-0.099564426,-0.47770494,1,-2,2
218,1981-10-01,0.09540088,0.08384583,-0.06343431,0.4206715,-0.07694384,-0.6421262,1,-2,2
219,1981-11-01,0.10692863,0.12504598,-0.45857832,0.63351876,-0.012552674,-0.08073395,1,-2,2
220,1981-12-01,0.09902947,0.37077564,-0.28478628,0.09752034,-0.1151756,-0.2880884,1,-2,2
221,1982-01-01,-0.023347989,0.4487021,-0.27735862,-0.15044554,-0.09657736,-0.36874896,1,-2,2
222,1982-02-01,-0.22824223,0.28720242,-0.4285562,-0.20329,-0.04328267,-0.41541606,1,-2,2
223,1982-03-01,-0.24302179,0.1517902,-0.1328414,0.19800372,-0.06337999,-0.6070662,1,-2,2
224,1982-04-01,-0.02439348,-0.06262619,-0.108771004,0.3272574,-0.1246141,-0.49522898,1,-2,2
225,1982-05-01,-0.18422563,-0.12651399,-0.32303417,-0.17440051,-0.19136709,-0.44123274,1,-2,2
226,1982-06-01,-0.029454269,-0.2927053,-0.16155851,-0.12463426,-0.36885574,-0.56879646,1,-2,2
227,1982-07-01,-0.2995495,-0.3119813,-0.30610564,0.075736485,-0.43380618,-0.23508252,1,-2,2
228,1982-08-01,-0.090927735,-0.24512456,-0.5111666,-0.123778895,-0.17885333,-0.22894081,1,-2,2
229,1982-09-01,0.20114487,-0.33217216,-0.4006805,-0.16815557,-0.06039092,-0.043311164,0,0,0
230,1982-10-01,0.30601123,-0.12569638,-0.359034,-0.23546714,-0.14005409,-0.07016611,0,0,0
231,1982-11-01,0.37740824,-0.3893932,-0.4562119,-0.48893136,-0.25351864,0.15935354,0,0,0
232,1982-12-01,0.42202112,-0.13473593,-0.31942865,-0.0019885944,-0.6297385,0.44156897,0,0,0
233,1983-01-01,0.36416927,-0.18206552,-0.0056592375,0.27841622,-0.109816924,0.6600773,0,0,0
234,1983-02-01,0.33003595,-0.608128,-0.04715485,0.3568622,-0.55093265,0.832283,0,0,0
235,1983-03-01,0.6761727,-0.33803704,-0.048711687,0.23341282,-0.48891425,0.60649043,0,0,0
236,1983-04-01,0.61982715,-0.27597028,-0.105423555,0.30048138,-0.06092096,0.10380233,0,0,0
237,1983-05-01,0.56292415,-0.55488545,-0.23453172,-0.07558517,-0.4267221,0.2028715,0,0,0
238,1983-06-01,0.6086504,-0.3076402,-0.2987133,-0.0013291569,-0.35717437,0.0933614,0,0,0
239,1983-07-01,0.57121783,-0.5938744,-0.11666438,0.003103995,-0.5392971,-0.07179208,0,0,0
240,1983-08-01,0.56858605,-0.4995448,-0.06655295,0.21677752,-0.49721012,-0.042679373,0,0,0
241,1983-09-01,0.5789991,-0.34351227,-0.062086865,0.34570974,-0.16997737,-0.533021,0,0,0
242,1983-10-01,0.3794351,-0.24243833,-0.16424105,0.18687089,-0.17972907,-0.36559016,0,0,0
243,1983-11-01,0.4927343,-0.49044737,-0.0011139374,0.00037297775,-0.1526275,-0.3309111,0,0,0
244,1983-12-01,0.3465367,-0.10948482,0.08793198,0.07290521,-0.12870474,-0.10276201,0,0,0
245,1984-01-01,0.09044118,-0.10389227,0.006845471,0.19539191,-0.24810001,-0.42984045,0,0,0
246,1984-02-01,0.21892521,-0.14952277,0.025420114,0.27347624,-0.3102816,-0.3446495,0,0,0
247,1984-03-01,0.2604581,-0.10758652,0.05775763,0.27179483,-0.2802857,-0.43080035,0,0,0
248,1984-04-01,0.12811977,-0.36140653,0.19661021,0.24052414,-0.092217825,-0.3407879,0,0,0
249,1984-05-01,-0.034279868,-0.38169578,0.07510916,0.17391627,-0.10017928,-0.22054882,0,0,0
250,1984-06-01,-0.016728152,-0.04677306,0.1191844,0.19501537,-0.1548898,-0.2910316,0,0,0
