yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp
199608,651.99,14.5337,35.6367,0.238061118,0.0505,0.0746,0.0818,0.0726,0.030886106,0.0041,0.001910828,-0.0139,-0.007,0.001121521,-0.000352236
199609,687.31,14.664,36,0.227297318,0.0509,0.0766,0.0835,0.0704,0.029580737,0.0044,0.00317864,0.029,0.0259,0.000686243,-0.000538694
199610,705.27,14.7423,36.91,0.221747656,0.0499,0.0739,0.0807,0.0671,0.025655809,0.0042,0.003168568,0.0404,0.0361,0.000606645,-0.00053145
199611,757.02,14.8207,37.82,0.205007919,0.0503,0.071,0.0779,0.0643,0.022067341,0.0041,0.001895136,0.0351,0.0263,0.000703735,-0.000613925
199612,740.74,14.899,38.73,0.20734273,0.0491,0.072,0.0789,0.0673,0.024125687,0.0046,0,-0.0256,-0.0186,0.001709085,-0.000396755
199701,786.16,14.9523,39.2333,0.196240103,0.0503,0.0742,0.0809,0.0689,0.024406933,0.0045,0.003152585,-0.0079,-0.0028,0.001360082,-0.000794129
199702,790.82,15.0057,39.7367,0.194395411,0.0501,0.0731,0.0794,0.0694,0.022910927,0.0039,0.003142678,0.0005,0.0028,0.001474791,-0.001302906
199703,757.12,15.059,40.24,0.214780202,0.0514,0.0755,0.0818,0.0723,0.021148543,0.0043,0.002506266,-0.0252,-0.0221,0.002001462,-0.001308306
199704,801.34,15.093,40.3433,0.201741048,0.0516,0.0773,0.0834,0.0705,0.01694529,0.0043,0.00125,0.0255,0.0184,0.003005081,-0.000871922
199705,848.28,15.127,40.4467,0.192878588,0.0505,0.0758,0.082,0.0701,0.01326445,0.0049,-0.00062422,0.0097,0.0128,0.002007456,-0.000878407
199706,885.14,15.161,40.55,0.184287615,0.0493,0.0741,0.0802,0.0688,0.010846707,0.0037,0.001249219,0.0195,0.0187,0.001974463,-0.000662098
199707,954.29,15.2183,40.58,0.171964943,0.0505,0.0714,0.0775,0.0637,0.011592659,0.0043,0.001247661,0.0626,0.0528,0.002010215,-0.000627257
199708,899.47,15.2757,40.61,0.185505404,0.0514,0.0722,0.0782,0.0672,0.012877263,0.0041,0.001869159,-0.0317,-0.024,0.002464722,-0.000430921
199709,947.28,15.333,40.64,0.177967857,0.0495,0.0715,0.077,0.0649,0.014634266,0.0044,0.002487562,0.0316,0.0226,0.002626494,-0.00074286
199710,914.62,15.3877,40.3333,0.190000677,0.0497,0.07,0.0757,0.0623,0.016262826,0.0042,0.00248139,0.0341,0.0191,0.009363821,-0.000599239
199711,955.4,15.4423,40.0267,0.180746299,0.0514,0.0687,0.0742,0.0614,0.015667208,0.0039,-0.000618812,0.0148,0.0101,0.00266211,-0.000791843
199712,970.43,15.497,39.72,0.178800884,0.0516,0.0676,0.0732,0.0602,0.015559471,0.0048,-0.00123839,0.0184,0.0163,0.002249374,-0.000888779
199801,980.28,15.545,39.66,0.178840273,0.0504,0.0661,0.0719,0.0589,0.013739636,0.0043,0.001859888,0.02,0.0137,0.002468843,-0.000700455
199802,1049.34,15.593,39.6,0.165463097,0.0509,0.0667,0.0725,0.0599,0.012056377,0.0039,0.001856436,-0.0072,-0.0007,0.001053348,-0.000804846
199803,1101.75,15.641,39.54,0.181140396,0.0503,0.0672,0.0732,0.0602,0.016488861,0.0039,0.001852996,0.0025,0.0038,0.001136786,-0.00073979
199804,1111.75,15.744,39.35,0.175872922,0.0495,0.0669,0.0733,0.0604,0.016405366,0.0043,0.001849568,0.0026,0.0053,0.001614764,-0.000955964
199805,1090.82,15.847,39.16,0.179102206,0.05,0.0669,0.073,0.0592,0.019075206,0.004,0.001846154,0.0182,0.0167,0.000958823,-0.00089152
199806,1133.84,15.95,38.97,0.178060606,0.0498,0.0653,0.0713,0.0576,0.024010577,0.0041,0.001228501,0.0228,0.0115,0.002097344,-0.001168848
199807,1120.67,16.0143,38.6767,0.179438109,0.0496,0.0655,0.0715,0.0584,0.025353565,0.004,0.001226994,-0.004,-0.0056,0.002228176,-0.002304525
199808,957.28,16.0787,38.3833,0.211432092,0.049,0.0652,0.0714,0.0547,0.028519029,0.0043,0.00122549,0.0465,0.0089,0.009333917,-0.001856856
199809,1017.01,16.143,38.09,0.203248404,0.0461,0.064,0.0709,0.0517,0.024082909,0.0046,0.00122399,0.0395,0.0413,0.009971017,-0.001633908
